MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6791501736,41,42,26,31,37,34,33,42,40,45,49
KR_6779926018,52,39,95,64,46,39,46,62,36,63,58
KR_6650150846,35,32,29,40,24,49,44,46,46,43,23
KR_6782058294,42,31,25,40,38,40,35,45,41,46,17
KR_6664037932,34,26,31,25,24,36,29,49,44,45,27
KR_6768939294,36,26,34,26,29,37,51,39,32,29,34
KR_6758137921,37,23,54,26,40,37,33,29,49,33,35
KR_6701787270,34,23,24,30,12,46,34,47,30,38,55
KR_6779055047,38,44,29,33,67,50,34,66,37,53,31
KR_6767794519,38,29,19,27,40,36,30,31,27,24,26
KR_6779219991,25,33,34,20,38,41,28,46,26,33,29
KR_6787306761,45,37,31,67,40,34,72,45,44,92,36
KR_6706742014,41,26,27,47,30,41,48,24,44,29,45
KR_6731018795,41,26,27,47,30,41,48,24,44,29,45
KR_6783322824,41,26,27,47,30,41,48,24,44,29,45
KR_6677014766,31,37,37,32,38,44,31,61,27,20,57
KR_6730817497,31,33,33,28,22,37,50,24,31,45,45
KR_6723978575,36,25,39,40,28,22,67,19,35,26,38
KR_6676312126,41,31,37,47,34,29,42,31,38,61,42
KR_6780557465,30,17,26,28,28,20,35,43,51,31,25
KR_6668438714,33,27,42,26,17,43,33,43,36,39,28
KR_6791235799,40,44,56,36,43,37,38,49,41,42,41
KR_6763237870,31,42,33,22,48,40,28,30,59,34,18
KR_6788494473,28,49,53,28,34,49,30,48,43,48,46
KR_6754290083,34,26,24,41,29,45,44,32,37,27,35
KR_6735543104,40,41,40,40,38,58,38,58,31,69,56
KR_6763129457,46,40,32,49,32,33,36,45,25,56,33
KR_6707297179,34,30,46,31,47,29,36,64,38,30,55
KR_6549818522,31,25,37,28,29,41,38,29,31,43,34
KR_6777330602,43,38,18,36,27,30,46,35,34,48,27
KR_6785706353,28,37,32,45,44,35,19,45,35,33,41
KR_6777885993,34,29,42,33,26,44,39,36,29,56,30
KR_6732635975,39,21,27,35,47,29,39,54,44,34,54
KR_6692502105,40,31,30,35,34,41,32,35,47,40,38
KR_6751216071,46,22,49,21,29,30,38,32,38,18,37
KR_6604800924,34,31,19,45,52,47,35,31,53,28,27
KR_6556540398,37,35,41,18,44,32,31,38,55,29,33
KR_6789839089,27,32,61,36,26,33,33,38,20,45,34
KR_6731055738,36,37,29,38,60,39,34,43,49,49,31
KR_6774963847,40,33,31,40,38,25,27,55,43,36,46
KR_6788425769,34,36,37,20,21,29,35,42,45,34,52
KR_6761890374,29,22,34,41,31,26,26,39,42,24,34
KR_6714656532,39,33,29,36,31,35,41,41,33,37,35
KR_6789895972,34,38,18,38,48,39,43,37,27,37,17
KR_6618880266,38,38,40,32,34,40,27,37,43,45,24
KR_6739348154,22,25,26,37,29,24,35,43,34,43,30
KR_6770144617,30,26,33,39,42,34,32,32,24,30,34
KR_6700143418,25,23,40,26,22,36,28,28,34,43,48
KR_6782082383,43,31,38,56,29,48,62,50,33,40,51
KR_6786278878,47,37,37,38,22,37,49,41,36,53,35
KR_6780476730,47,42,40,41,46,44,28,44,37,45,52
KR_6782072697,24,29,32,32,28,43,47,33,29,44,15
KR_6703320902,34,32,28,33,26,31,53,23,54,38,32
KR_6698567729,41,31,35,44,36,41,27,30,33,30,54
KR_6557236024,40,31,25,40,30,32,33,44,36,37,37
KR_6748988323,33,24,37,25,37,30,33,28,37,35,26
KR_6775912775,48,28,33,42,46,27,39,44,47,32,39
KR_6772526506,50,52,26,43,28,33,39,30,60,34,26
KR_6699967830,36,32,58,28,35,72,34,42,35,42,35
KR_6710659776,43,27,35,32,19,39,46,45,36,30,35
KR_6773743414,31,58,29,48,26,56,51,48,73,59,35
KR_6658475042,32,39,41,48,46,21,45,78,29,62,34
KR_6776993229,30,31,28,40,45,32,39,34,28,45,30
KR_6790795530,39,34,39,38,38,33,33,24,58,34,48
KR_6650404639,40,23,37,34,45,37,36,49,33,34,43
KR_6720043678,36,32,36,32,37,32,40,25,47,48,31
KR_6697708668,39,26,43,41,41,36,54,43,57,69,45
KR_6703234966,38,22,58,28,32,28,47,29,31,43,37
KR_6685693424,47,34,27,35,27,28,24,51,29,38,30
KR_6748050195,30,26,28,25,38,29,43,24,39,27,40
KR_6593777640,31,31,32,35,38,32,27,66,32,54,24
KR_6782210781,31,31,22,35,32,35,40,25,24,47,34
KR_6790309255,21,28,40,19,33,31,28,40,34,41,19
KR_6731002396,40,36,36,44,35,41,50,41,35,35,32
KR_6617397672,35,32,46,30,44,47,42,79,43,44,47
KR_6629183040,39,30,35,18,47,48,37,52,40,51,45
KR_6742159968,34,27,41,25,27,40,37,25,29,40,39
KR_6715381812,42,27,41,47,24,37,26,30,23,46,23
KR_6705407028,36,22,39,43,31,24,41,24,48,53,47
KR_6658747407,39,39,23,42,24,36,29,32,25,72,24
KR_6782700134,33,26,42,27,21,39,27,39,39,22,44
KR_6749315757,40,35,27,26,43,32,38,30,41,66,45
