MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6791406345,41,25,31,41,30,27,26,32,42,49,25
KR_6775317470,39,36,48,32,28,50,40,36,42,32,42
KR_6740202310,34,38,20,29,39,38,27,34,36,39,41
KR_6538084860,34,36,26,42,40,22,45,21,34,34,24
KR_6709460061,44,42,37,52,45,44,33,56,50,34,40
KR_6783387188,42,32,31,28,36,39,45,17,32,48,47
KR_6793347163,35,31,34,28,38,41,49,46,27,46,43
KR_6728063329,33,26,40,37,29,38,25,30,38,37,33
KR_6676295540,36,40,33,23,23,58,28,51,24,35,26
KR_6769994058,39,34,44,35,37,37,47,44,46,33,36
KR_6760707559,41,23,36,31,32,37,51,34,48,28,33
KR_6407012573,35,33,36,43,22,36,55,24,56,49,25
KR_6788353100,34,26,38,33,32,41,57,50,53,17,49
KR_6628898959,37,46,33,29,43,49,43,44,52,58,43
KR_6662869574,50,38,30,47,32,49,55,31,30,44,40
KR_6725204696,75,69,48,59,89,89,50,34,48,68,34
KR_6796842506,31,25,32,34,24,26,28,34,18,41,44
KR_6791840429,33,27,41,27,35,34,41,35,47,24,46
KR_6586680146,32,28,49,29,42,31,33,45,52,58,42
KR_6788375171,43,26,41,24,38,30,23,61,29,33,41
KR_6705930098,31,34,29,31,45,31,21,34,32,23,39
KR_6781972873,46,25,30,31,30,37,46,23,52,27,31
KR_6703619596,41,22,27,31,46,49,35,50,27,33,27
KR_6789647039,44,27,24,25,23,49,42,36,36,24,35
KR_6785816631,37,34,37,22,28,19,50,52,19,49,36
KR_6658503373,38,29,38,32,36,42,35,34,48,34,33
KR_6731563891,32,33,39,21,32,26,34,18,49,21,39
KR_6760425480,39,20,47,26,47,30,46,50,38,40,37
KR_6783994804,38,47,37,43,41,26,46,40,43,44,41
KR_6796824460,36,27,29,31,26,43,41,36,26,24,30
KR_6767913883,32,37,26,32,35,28,26,25,32,37,41
KR_6754555428,38,29,53,31,32,36,29,39,48,66,54
KR_6669480746,52,40,35,43,31,66,61,58,56,68,46
KR_6760394519,33,33,30,34,29,36,35,31,41,28,39
KR_6777135918,34,20,29,31,23,34,25,36,32,42,18
KR_6791336128,35,24,39,48,44,47,34,36,36,32,49
KR_6791654508,25,27,40,39,28,37,34,33,27,32,48
KR_6580207466,40,33,44,48,24,26,47,34,63,29,47
KR_6535532195,34,35,32,47,20,38,36,23,27,17,41
KR_6676904574,29,24,37,28,23,27,27,26,43,43,25
KR_6788098757,33,28,40,36,30,26,40,31,39,35,28
KR_6665267162,37,42,34,37,62,31,40,43,41,48,38
KR_6627467116,37,40,36,35,33,31,33,42,43,34,34
KR_6671798824,41,33,37,21,45,18,40,40,45,35,42
KR_6772782526,39,25,46,34,43,37,37,57,42,23,34
KR_6796327611,33,40,27,40,49,21,29,35,35,53,33
KR_6619411690,33,46,33,43,21,28,32,38,42,32,30
KR_6781265147,41,33,24,33,36,36,13,36,33,42,35
KR_6664179560,39,38,26,41,56,21,32,42,31,45,25
KR_6782659971,42,28,25,23,30,33,36,27,39,48,28
KR_6773063803,27,28,43,26,34,28,30,43,44,22,44
KR_6667010631,49,33,29,41,35,50,54,52,49,35,44
KR_6704331997,36,36,33,26,43,41,25,47,46,32,22
KR_6675127772,35,53,26,30,46,40,42,50,47,56,41
KR_6703089762,34,29,37,38,33,25,49,34,44,56,26
KR_6744772377,26,37,28,33,25,28,29,52,24,35,38
KR_6790516920,25,26,34,32,39,25,38,37,46,24,21
KR_6633334198,36,42,29,25,64,23,39,56,28,52,31
KR_6783126175,28,21,30,40,21,39,31,35,34,49,31
KR_6785837029,39,39,31,23,45,18,32,38,36,46,35
KR_6790498519,87,56,42,49,35,57,97,32,60,90,51
KR_6792780884,37,30,23,54,40,27,29,51,22,28,44
KR_6792173200,36,30,36,41,44,43,32,41,27,40,40
KR_6772535986,36,31,35,56,33,43,47,34,31,44,46
KR_6787193753,33,18,25,41,33,34,22,20,57,37,46
KR_6781501470,28,22,22,32,35,36,28,45,25,39,39
KR_6628823525,34,35,30,16,54,26,32,27,29,22,52
KR_6775620140,38,32,35,39,33,21,30,44,29,45,29
KR_6750843441,45,26,43,39,31,33,24,56,33,51,39
KR_6783909450,30,33,31,35,26,42,44,31,44,38,45
KR_6667812062,39,16,35,21,26,36,34,23,36,36,24
KR_6729105993,42,33,28,28,32,37,26,41,29,30,33
KR_6738598592,36,34,51,27,20,38,33,28,32,47,30
KR_6742405210,35,32,28,27,30,40,20,48,50,33,32
KR_6739173406,34,25,24,28,28,36,31,29,29,21,35
KR_6796252210,34,33,43,30,44,38,40,38,39,37,31
KR_6790173289,27,42,29,41,47,35,30,30,25,25,33
KR_6671233856,35,30,45,43,24,18,50,30,31,43,40
KR_6787724805,28,35,38,36,34,37,46,36,28,47,21
KR_6791490352,38,46,43,39,39,41,30,54,53,32,59
KR_6728665715,101,48,54,28,25,51,29,72,61,57,63
KR_6794885427,37,33,23,39,26,27,38,40,33,30,16
KR_6779649177,39,31,34,41,33,37,37,31,31,39,41
KR_6792468201,46,26,23,41,26,42,21,37,20,34,48
KR_6717673167,36,26,28,47,33,34,41,45,40,29,42
KR_6692445732,33,34,32,30,29,31,34,41,21,43,26
KR_6765996246,33,39,30,32,24,25,42,22,41,40,31
KR_6782233850,36,27,35,27,33,31,30,35,33,36,28
KR_6674184080,35,24,28,33,51,33,37,43,35,31,36
KR_6760718870,33,30,35,21,36,52,30,41,40,40,34
KR_6762738668,41,19,35,31,34,24,30,33,49,55,33
KR_6782686572,23,32,39,32,25,42,33,31,51,47,26
KR_6736002837,79,54,39,54,41,72,50,30,44,44,52
KR_6764787300,45,31,46,55,23,33,35,50,46,46,33
KR_6781540331,30,37,28,28,50,20,30,34,33,48,32
KR_6788310360,31,50,31,28,47,55,41,48,42,36,49
KR_6795402448,44,26,33,30,29,36,30,29,32,47,29
KR_6420748892,22,39,25,27,35,32,22,56,35,34,27
KR_6779363236,29,44,28,31,28,40,45,42,32,51,38
KR_6745155502,47,34,47,48,47,52,55,49,42,59,45
KR_6794506465,37,62,42,36,45,40,55,30,39,34,33
KR_6749967844,35,16,37,28,24,21,49,34,46,34,35
KR_6793122469,33,34,42,32,29,40,22,30,29,47,28
KR_6755252717,35,29,30,32,30,26,40,30,43,19,39
KR_6679825265,38,20,44,31,38,27,35,47,47,38,28
KR_6787891894,46,30,30,41,23,39,31,46,22,40,30
KR_6760955720,34,40,24,33,43,38,44,44,43,33,20
KR_6784999420,37,32,40,21,30,41,26,39,33,44,41
KR_6762929361,38,29,35,31,30,50,31,29,32,53,17
KR_6502439972,37,32,41,45,30,53,33,28,35,37,37
KR_6716566341,22,24,37,29,40,30,29,30,22,47,41
KR_6678538760,37,24,47,39,41,36,47,33,31,40,32
KR_6672791617,46,33,37,37,37,22,46,35,31,39,35
KR_6632682590,31,35,35,42,31,28,40,33,31,33,23
KR_6760819487,49,27,35,37,33,40,53,43,25,26,55
KR_6795504384,52,21,48,52,44,53,71,68,47,73,48
KR_6754004713,31,35,27,36,34,22,27,35,29,47,31
KR_6755313021,37,47,31,34,43,40,31,33,40,48,38
KR_6772932269,25,38,31,46,33,27,37,43,32,50,43
KR_6716482457,43,31,39,23,37,43,28,34,39,33,33
KR_6724387651,32,34,38,53,36,20,43,40,38,41,19
KR_6669075967,25,29,46,27,41,38,38,38,36,37,47
KR_6749601942,33,23,41,39,35,57,27,38,48,24,41
KR_6774754071,40,21,34,34,40,31,42,36,45,37,27
KR_6771459309,23,29,31,42,29,38,48,19,26,27,44
KR_6792671825,49,29,25,31,42,40,31,28,35,42,36
KR_6760597170,46,23,37,35,31,32,31,22,38,34,31
KR_6406989067,27,50,28,37,31,33,50,30,41,43,46
KR_6743398918,30,42,40,37,24,44,35,25,41,67,29
KR_6719002400,38,28,32,27,38,36,47,42,25,32,63
KR_6594073415,48,33,16,29,34,40,22,43,28,28,39
KR_6720565141,36,17,34,20,35,40,37,22,39,38,37
KR_6586468947,33,32,23,35,33,17,34,41,32,48,21
KR_6741568862,38,24,31,26,35,41,33,49,32,27,41
KR_6792641604,31,27,50,50,40,37,45,39,36,33,46
KR_6775577103,29,31,33,22,25,31,39,36,44,22,38
KR_6786602780,28,38,27,31,28,40,31,29,50,52,35
KR_6733698730,47,23,36,42,32,39,42,38,40,36,52
KR_6745447350,48,49,31,49,39,41,45,65,51,27,49
KR_6767279922,39,25,36,44,30,38,32,48,43,35,29
KR_6345060413,20,35,28,30,25,23,30,28,30,43,33
KR_6780413696,32,19,41,31,52,55,35,31,29,49,27
KR_6627045035,45,27,31,31,36,26,32,32,45,45,37
KR_6769642101,35,32,35,33,38,45,29,36,46,39,30
KR_6793023369,36,19,32,18,42,28,33,30,35,32,33
KR_6703473244,32,30,56,35,31,42,42,40,34,39,31
KR_6669161498,42,29,38,25,41,23,26,51,31,32,22
KR_6679222609,34,33,29,33,26,42,41,38,18,23,35
KR_6784704070,33,41,23,29,43,28,28,44,50,25,31
KR_6624166973,30,34,26,32,23,18,40,39,30,38,28
KR_6681045773,34,29,37,42,38,34,31,31,43,24,35
KR_6744173153,35,37,31,34,40,60,30,33,31,32,43
KR_6286939714,29,36,32,32,31,41,27,42,38,19,48
KR_6775287020,39,40,36,45,38,25,49,53,36,59,27
KR_6608411663,43,28,37,36,26,63,30,41,41,48,48
KR_6669495555,36,24,28,39,33,42,31,34,30,38,36
KR_6719238205,33,32,29,40,41,27,45,38,28,46,28
KR_6792153974,28,37,39,30,27,30,41,43,32,32,44
KR_6793234469,27,48,19,29,34,37,46,49,21,39,33
KR_6788069247,30,32,37,26,32,56,32,35,17,35,33
KR_6566887930,22,27,28,16,56,17,34,37,39,32,38
KR_6753624345,35,29,28,27,29,21,26,32,42,34,24
KR_5894852841,36,39,26,26,49,26,33,27,47,35,37
KR_6772028634,25,28,38,39,24,36,26,46,32,29,37
KR_6494267956,39,32,45,30,33,32,36,23,36,28,39
KR_6796128194,52,33,30,42,30,36,56,45,30,53,26
KR_6745949243,49,51,46,37,56,52,46,40,42,55,46
KR_6677327010,44,40,47,40,40,41,36,45,39,58,39
KR_6736710866,29,35,15,26,31,36,23,30,46,33,17
KR_6785860344,35,39,24,25,37,42,31,28,29,37,24
KR_6669677783,55,37,48,27,50,42,52,35,52,60,38
KR_6444731519,36,38,32,39,33,37,19,25,19,77,36
KR_6795141949,24,33,27,16,35,41,40,43,42,45,36
KR_6796466834,47,27,38,32,33,28,30,32,30,42,31
KR_6701996819,41,29,34,28,42,24,35,31,37,46,45
KR_6781708952,42,22,30,35,38,30,38,22,47,41,26
KR_6774586812,34,25,34,24,24,40,55,36,22,30,42
KR_6691338702,37,33,26,42,30,29,39,30,25,38,36
KR_6795946465,39,24,59,27,29,31,46,38,17,33,14
KR_6777634108,34,29,52,31,24,54,42,26,48,33,21
KR_6754855096,31,18,52,38,31,36,42,38,23,33,36
KR_6768181285,31,27,43,24,28,23,37,28,42,33,29
KR_6407036505,35,21,50,38,26,39,30,39,48,30,49
KR_6774628551,31,38,30,41,25,37,51,22,45,35,36
KR_6649405546,31,37,30,30,45,33,31,30,51,26,30
KR_6755735586,29,25,29,28,31,35,28,32,52,36,50
KR_6654326928,44,41,31,34,35,39,41,43,43,43,40
KR_6727508095,37,31,40,33,28,31,26,53,39,48,17
KR_6679210159,72,51,67,43,46,50,46,69,59,67,68
KR_6728947308,29,26,31,32,39,38,24,41,34,39,42
KR_6781387388,44,18,36,41,25,62,28,24,45,24,30
KR_6759537719,44,25,25,43,39,36,41,36,51,44,50
KR_6783944732,33,40,34,23,31,35,41,38,38,37,38
KR_6763248242,39,26,50,41,34,26,47,46,41,53,32
KR_6793183023,34,24,33,35,31,25,32,41,29,29,35
KR_6680750681,36,31,31,41,29,27,34,38,23,49,30
