MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6748447481,27,35,38,32,40,25,52,31,48,47,29
KR_6685420487,45,49,54,35,36,47,35,75,26,44,38
KR_6799153431,69,86,75,47,56,61,83,43,69,30,54
KR_6793493147,28,35,27,25,33,43,31,21,21,58,32
KR_6676956087,36,27,26,33,45,31,32,46,34,21,34
KR_6652369397,35,32,29,39,36,23,52,43,29,64,31
KR_6797899923,79,74,84,36,32,63,50,33,55,54,45
KR_6800488236,53,47,34,41,46,47,44,32,47,60,44
KR_6716026065,34,29,30,34,24,20,52,41,37,49,24
KR_6798959246,43,25,28,21,25,30,32,35,44,30,50
KR_6781409493,36,23,43,36,39,29,30,21,48,32,31
KR_6743540981,47,35,45,39,62,41,41,42,52,46,54
KR_6682765592,28,43,43,37,33,43,38,19,53,37,43
KR_6740474269,31,52,28,29,33,22,31,29,24,53,16
KR_6797264196,32,33,27,39,35,35,42,28,34,25,36
KR_6793866075,27,36,19,29,29,28,32,44,37,25,22
KR_6662870513,35,16,41,44,30,35,39,40,23,31,33
KR_6322898293,42,36,37,30,34,24,38,36,34,41,41
KR_6799872056,26,20,42,36,30,31,33,38,28,48,37
KR_6798688982,40,27,40,30,25,25,45,41,37,32,34
KR_6700918934,32,30,45,27,45,36,46,40,33,38,24
KR_6504103714,34,25,29,28,42,50,19,25,27,27,24
KR_6798866428,30,30,52,24,32,41,35,24,26,53,23
KR_6725913390,39,25,32,36,28,30,36,32,32,40,23
KR_6686827509,41,31,32,43,27,33,28,35,27,39,42
KR_6767416540,39,28,32,33,27,30,36,38,56,38,38
KR_6799485016,30,28,45,21,40,34,28,23,41,29,49
KR_6771852148,48,29,30,43,38,37,54,35,53,34,36
KR_6722814955,32,35,32,32,27,44,38,29,30,23,35
KR_6748387385,28,54,45,36,25,68,64,46,35,54,23
KR_6799565051,29,25,43,50,50,44,28,41,45,41,37
KR_6694265933,29,34,30,32,50,31,44,22,28,47,29
KR_6640536673,49,34,26,26,33,27,55,57,32,57,40
KR_6785510699,31,37,41,38,38,39,33,39,45,29,44
KR_6760704356,49,42,68,34,39,30,58,57,37,69,36
KR_6734373658,43,56,74,41,56,51,30,76,40,57,61
KR_6726387008,33,33,34,41,42,30,40,39,46,32,44
KR_6715955471,36,36,32,30,25,35,24,40,58,48,43
KR_6795247131,35,19,32,34,25,27,39,49,29,44,38
KR_6755384836,28,26,47,41,44,36,41,25,28,53,21
KR_6692086851,41,21,39,35,34,26,34,50,35,29,39
KR_6723901486,30,28,33,32,31,47,36,31,43,37,32
KR_6467409807,50,30,34,39,36,45,39,55,29,38,44
KR_6773758166,26,42,25,23,44,41,42,24,23,28,55
KR_6588169566,39,25,41,42,32,27,18,56,30,47,29
KR_6783642584,29,34,38,29,32,29,32,33,30,35,34
KR_6783378962,42,31,43,39,38,65,72,61,56,69,60
KR_6793272836,41,27,25,22,38,35,46,17,31,40,31
KR_6654499404,53,31,52,36,31,55,45,58,52,40,18
KR_6694284124,45,36,37,32,40,14,33,43,31,47,41
KR_6777404603,29,23,40,28,31,29,40,23,33,36,34
KR_6720873203,33,33,44,26,29,39,19,29,51,30,47
KR_6584766906,40,39,41,33,26,32,41,39,33,46,45
KR_6787858234,28,39,47,24,29,44,50,35,46,40,39
KR_6797025894,28,30,41,32,39,33,43,45,34,41,31
KR_6669689055,37,35,34,30,36,46,24,55,30,32,35
KR_6786339488,36,36,36,35,39,31,23,42,54,37,32
KR_6793492397,34,23,32,18,42,43,26,42,37,28,32
KR_6784135186,39,34,34,55,34,37,49,45,40,38,73
KR_6797310534,37,33,38,26,31,38,29,21,37,42,39
KR_6790244069,25,27,27,35,26,33,42,27,39,30,30
KR_6587155067,42,44,23,40,43,54,40,46,38,54,38
KR_6798746463,45,32,29,40,29,30,62,35,28,46,41
KR_6633624592,73,48,27,60,61,23,51,54,48,65,46
KR_6795501251,37,38,42,34,51,36,55,51,37,28,54
KR_6676264740,43,26,37,21,44,35,41,34,34,47,55
