MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6783684946,24,30,32,36,28,34,30,35,51,29,47
KR_6746680754,23,37,38,29,32,35,30,40,36,53,29
KR_6735225365,41,37,38,36,17,31,43,40,29,37,33
KR_6792400397,31,35,19,27,43,39,39,24,47,20,41
KR_6780680155,44,46,57,44,28,39,33,42,47,40,27
KR_6789968666,33,25,42,32,35,21,30,47,46,34,42
KR_6769899960,54,28,29,16,28,41,53,60,38,57,47
KR_6793358359,44,38,32,31,24,31,38,33,52,41,26
KR_6769789604,54,36,49,34,41,50,37,50,43,49,35
KR_6787867044,35,47,36,40,54,42,41,51,35,52,34
KR_6794617709,25,30,45,29,21,50,41,22,38,48,22
KR_6778870748,65,67,100,33,58,78,37,98,101,51,62
KR_6790224443,38,44,28,35,34,32,30,46,52,39,43
KR_6790918250,40,31,31,36,42,35,36,27,44,42,35
KR_6793521923,41,45,41,35,32,39,36,37,55,41,32
KR_6783047801,35,35,40,34,23,35,40,26,40,32,35
KR_6787186721,35,61,35,24,45,26,35,32,26,36,33
KR_6790104968,43,47,75,44,46,77,45,62,63,95,47
KR_6788770031,45,65,25,31,41,75,78,31,49,68,40
KR_6730196531,29,30,29,36,29,41,33,28,30,40,40
KR_6793524420,31,36,27,24,42,25,33,45,43,36,30
KR_6787464390,51,37,35,35,38,56,35,55,61,34,51
KR_6710048703,112,67,37,60,31,47,62,43,47,65,39
KR_6761913843,43,34,36,21,39,32,29,46,30,40,33
KR_6752779232,39,35,39,31,31,47,45,35,29,44,74
KR_6793316024,52,31,29,34,30,35,22,34,56,47,31
KR_6782030301,36,31,30,41,42,52,38,34,47,38,49
KR_6761606063,51,40,36,49,32,45,39,43,79,43,28
KR_6788022173,44,36,41,40,34,41,36,50,39,33,41
KR_6736929154,43,27,28,36,34,24,33,50,41,27,43
KR_6693622995,47,46,34,58,50,39,30,32,69,46,54
KR_6748314713,28,29,60,37,27,45,45,39,59,65,43
KR_6747723137,41,40,30,41,47,25,25,48,39,47,46
KR_6783058482,45,29,39,32,38,17,40,39,20,37,28
KR_6775930571,47,45,24,44,32,27,46,44,41,45,45
KR_6758534804,28,35,34,17,45,21,32,21,38,41,59
KR_6786373187,44,37,38,29,36,39,30,37,37,50,46
KR_6776601667,44,26,43,52,36,40,38,49,41,43,26
KR_6727786061,46,32,29,47,33,33,40,52,37,33,53
KR_6743631599,28,24,36,31,33,47,32,38,29,39,29
KR_6747657483,49,40,33,40,31,40,31,36,48,43,26
KR_6783132735,40,23,37,45,23,43,52,29,40,54,48
KR_6782076438,42,32,38,29,26,29,39,30,45,24,50
KR_6786821804,40,18,43,21,28,41,25,26,44,31,36
KR_6794397765,59,53,19,21,60,80,63,59,50,64,47
KR_6781227746,44,50,29,33,55,46,49,40,53,40,46
KR_6794404991,35,29,23,48,31,49,22,23,57,29,25
KR_6786026617,27,39,37,46,30,49,31,49,33,47,38
KR_6792728298,37,17,45,36,41,28,38,56,36,39,31
KR_6784100293,36,35,21,55,27,35,45,29,24,38,36
KR_6790139304,40,21,33,31,38,33,26,31,32,40,33
KR_6793237431,64,33,39,34,27,43,33,36,56,29,53
KR_6761933097,34,34,30,37,51,46,48,45,37,54,40
KR_6758456807,44,32,30,36,35,40,44,40,37,41,31
KR_6745484439,43,32,24,23,50,21,65,59,50,40,49
KR_6784343245,41,28,36,40,41,41,42,64,38,33,55
KR_6780422046,23,35,30,33,35,25,42,29,33,38,39
KR_6792198022,25,37,33,27,39,27,37,37,29,40,31
KR_6791999607,26,31,23,12,38,29,53,28,32,39,30
KR_6788069925,44,33,44,33,26,33,50,25,29,37,35
KR_6760903264,42,49,26,42,31,32,36,37,53,46,27
KR_6716280926,31,33,37,30,55,37,49,30,39,23,28
KR_6788262946,36,33,40,45,36,23,54,45,43,53,61
KR_6758214858,33,55,39,36,54,37,61,38,57,57,51
KR_6787848249,33,51,45,42,34,44,38,44,58,50,36
KR_6733855504,36,56,21,36,45,31,44,33,50,44,27
KR_6746675909,30,29,38,36,45,42,46,49,35,51,27
KR_6775263704,36,40,39,28,23,56,41,35,31,44,30
KR_6792051528,38,25,36,44,34,32,38,44,51,43,26
KR_6767131551,36,38,54,48,56,39,51,49,59,61,65
KR_6789976393,41,45,32,32,13,59,29,48,28,48,25
KR_6713637583,47,32,31,55,44,40,31,41,33,46,33
KR_6787843607,46,35,34,31,56,29,44,44,27,52,43
KR_6792142546,25,44,37,36,33,26,40,46,49,52,21
KR_6727672952,41,49,47,43,60,39,44,48,36,52,39
KR_6773018604,32,25,25,36,38,31,29,46,24,51,41
KR_6791354246,30,32,26,41,48,29,37,40,49,37,38
KR_6779638197,38,37,29,31,40,36,41,34,45,42,50
KR_6745306165,60,22,39,37,44,28,42,29,45,47,46
KR_6776193767,36,30,40,41,38,38,43,40,28,39,37
KR_6778251712,25,26,30,24,33,27,33,31,36,41,38
KR_6792386937,27,40,28,50,21,37,37,47,25,46,34
KR_6786493575,33,30,31,43,41,42,49,42,53,48,51
KR_6788798347,75,62,30,62,61,68,58,61,51,54,73
KR_6790429575,31,48,37,41,25,41,61,45,37,27,33
KR_6793810281,48,41,39,44,34,48,23,38,36,35,45
KR_6792868223,27,30,37,40,20,31,34,40,39,33,45
KR_6768400399,31,46,42,38,48,41,26,47,40,47,36
KR_6793789495,34,27,32,44,41,42,34,47,39,32,44
KR_6793311082,39,25,38,33,56,49,33,34,45,40,50
KR_6790323022,38,24,37,36,22,40,42,34,62,42,35
KR_6770907570,40,39,45,39,30,47,47,45,38,53,38
KR_6763384065,31,31,37,43,13,42,37,35,52,31,34
KR_6724626902,51,37,43,28,64,51,36,42,57,49,30
KR_6779698685,50,30,43,54,46,26,37,47,63,50,45
KR_6770871751,53,29,37,30,37,34,30,40,39,29,51
KR_6727187408,34,33,36,26,30,30,60,34,28,52,31
KR_6789762060,43,49,26,45,39,38,32,32,55,53,23
KR_6758149799,36,34,41,32,39,33,34,25,33,42,40
KR_6779501451,34,27,24,22,41,23,25,26,32,44,23
KR_6762208001,33,35,41,28,33,44,25,39,26,36,35
KR_6790110053,39,27,46,30,23,19,37,41,29,44,37
