MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6789883181,45,38,31,32,35,36,37,20,47,37,43
KR_6783011809,42,38,37,27,42,37,39,43,39,50,30
KR_6783722404,40,37,43,40,30,28,45,24,27,42,38
KR_6774697804,53,29,27,45,33,41,36,43,20,53,45
KR_6784248998,39,29,13,49,29,26,38,45,33,43,37
KR_6788943834,81,45,72,49,36,45,36,42,65,61,36
KR_6787613891,30,24,26,46,31,26,41,57,40,34,61
KR_6790372438,45,37,39,37,26,35,36,36,43,31,39
KR_6789241785,100,36,51,55,77,42,69,41,60,54,54
KR_6790066101,30,37,39,38,38,20,45,40,38,41,35
KR_6784773060,44,36,32,35,39,41,43,59,23,42,48
KR_6788695823,42,40,40,43,32,33,49,48,36,50,46
KR_6789356796,50,30,54,34,56,28,42,53,46,45,38
KR_6772477266,31,22,34,24,55,30,46,29,42,35,27
KR_6787950960,51,28,33,34,31,43,47,40,22,44,39
KR_6782188669,43,36,22,41,36,38,42,38,36,57,45
KR_6788992507,41,39,31,43,48,31,43,44,48,39,50
KR_6790629280,46,31,58,32,39,43,59,48,48,25,44
KR_6765504746,43,29,50,33,32,26,37,25,46,42,26
KR_6789970325,56,21,54,73,55,46,77,81,62,26,49
KR_6766772618,42,32,30,32,41,28,47,48,43,34,27
KR_6778025495,44,23,24,22,39,29,40,23,53,31,33
KR_6773234994,39,34,43,32,37,42,32,35,32,31,33
KR_6772156572,46,25,49,36,34,23,29,57,33,33,46
KR_6779552501,35,41,39,47,40,41,30,52,62,37,57
KR_6770749998,44,28,47,35,38,34,38,42,39,49,36
KR_6789176603,39,27,26,27,43,30,30,40,37,34,36
KR_6782910852,38,46,26,37,34,24,40,50,35,52,42
KR_6783276717,37,30,36,31,67,29,53,38,51,37,70
KR_6784262480,30,23,39,38,39,40,44,27,44,39,41
KR_6791222381,50,37,29,42,45,30,37,57,46,45,45
KR_6790208394,54,47,32,30,29,28,45,51,21,62,42
KR_6786408977,42,18,34,32,30,37,38,18,31,35,43
KR_6790438389,32,34,31,29,23,47,34,44,36,50,41
KR_6790654494,35,39,46,32,28,26,50,38,21,30,48
KR_6788196566,26,41,26,23,44,25,31,25,38,49,40
KR_6785105735,35,39,40,29,35,32,28,43,42,38,36
KR_6783632547,33,42,41,37,33,48,28,38,44,17,36
KR_6774571351,32,37,35,31,33,33,29,35,41,43,29
KR_6791543419,35,36,40,22,35,28,51,27,25,28,50
KR_6789252750,40,45,43,34,30,36,49,46,21,34,34
KR_6777153182,21,26,34,44,31,34,38,28,40,21,34
KR_6791266402,42,31,39,31,39,63,41,29,42,46,34
KR_6790701850,23,34,18,45,33,40,47,30,40,38,32
KR_6786280950,43,25,37,23,26,34,42,36,27,47,24
KR_6786863640,29,31,34,28,50,42,51,39,39,47,32
KR_6766892264,30,25,40,40,22,34,30,50,39,28,24
KR_6787576233,38,31,34,42,22,60,32,29,49,46,46
KR_6787367998,37,32,24,29,36,40,29,26,31,39,46
KR_6757125193,30,28,42,38,24,39,34,29,48,32,33
KR_6774349045,36,41,34,24,35,43,42,21,50,28,45
KR_6783417467,46,27,26,57,27,36,28,36,52,44,54
KR_6764728534,46,32,32,33,41,40,22,43,29,37,39
KR_6784353670,53,45,48,36,43,46,54,48,73,31,45
KR_6779952682,45,29,42,31,27,33,40,33,52,33,45
