MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6702903709,44,28,20,35,38,21,34,40,38,46,47
KR_6680629046,33,44,30,34,27,43,40,34,25,42,42
KR_6691168410,36,36,33,43,20,41,20,23,61,24,26
KR_6684062585,45,31,37,27,32,59,35,54,34,32,46
KR_6785369170,33,27,25,40,32,32,42,42,35,49,48
KR_6609894907,25,24,31,24,27,25,42,32,49,27,29
KR_6699868573,24,40,32,29,23,43,21,40,38,37,20
KR_6774722853,37,38,30,36,43,48,47,39,46,50,35
KR_6779854106,36,30,36,35,28,44,37,26,42,45,34
KR_6734822344,32,21,39,23,39,41,41,44,39,41,36
KR_6642367586,34,36,40,31,30,32,24,66,33,32,34
KR_6691262753,29,30,53,23,26,40,43,29,28,41,40
KR_6775311096,32,24,51,18,45,33,35,28,43,38,40
KR_6793876745,27,40,33,25,35,27,54,18,53,31,36
KR_6764106611,22,49,25,25,35,42,35,40,36,39,37
KR_6787807402,48,34,37,41,50,38,72,56,50,47,30
KR_6791895526,30,43,29,32,35,32,45,39,43,30,31
KR_6749562281,34,35,40,35,29,53,37,48,37,28,39
KR_6790484113,38,29,33,17,26,36,37,40,54,34,26
KR_6761696360,39,40,38,44,41,23,28,37,30,25,57
KR_6730835422,39,33,34,46,47,37,52,50,47,42,27
KR_6755556760,30,32,49,27,42,29,32,40,45,37,32
KR_6786237255,34,34,29,34,42,25,44,43,26,44,38
KR_6737760534,31,44,20,30,51,40,41,45,29,47,36
KR_6760616119,29,34,23,36,37,22,32,17,36,35,44
KR_6773734338,56,35,35,28,34,53,33,32,45,40,40
KR_6776004468,30,20,32,24,30,25,37,28,36,35,28
KR_6725810176,48,40,40,33,49,58,32,37,48,47,50
KR_6791027868,36,34,33,30,33,46,33,37,36,42,33
KR_6791617363,35,44,34,40,49,41,45,42,55,31,57
KR_6740316737,32,26,32,40,41,34,44,37,36,39,45
KR_6616316273,41,30,26,29,36,34,35,42,35,39,31
KR_6778517195,45,27,28,27,52,28,35,23,45,28,38
KR_6762713701,40,55,33,36,31,32,45,45,38,48,43
KR_6772875644,36,25,33,22,35,26,45,34,24,34,41
KR_6788786393,52,15,48,32,49,41,40,37,36,47,42
KR_6759990089,43,18,35,36,35,35,58,36,34,32,42
KR_6779155723,32,32,31,32,40,32,36,40,42,30,27
KR_6780794050,34,43,43,50,37,51,42,51,52,36,60
