queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6789293420,1,0,1,1,0,2,2,0,0,3,6,2,0,4,1,3,0,0,3,5,3,1,2,0,4,5,3,4,1,1,1,10,23,8,24,14,4,41,0,8,27,10,7,9,8,6,9,8,9,8,7,91,1,105,82,9,68,11,90,112,25,0,64,0,0,0,0,64,0,1,0,4461,4311,6156,4601,3906,3431,4231,4958,5953,4101,4,7,0,0,1,0,25,19
420,KR_6789396666,1,1,1,1,6,1,1,0,0,4,6,6,4,3,3,1,1,2,1,2,3,1,2,1,3,2,3,3,4,1,6,8,10,18,1,21,0,3,9,19,9,11,8,9,7,7,9,7,8,7,7,109,5,105,88,16,89,16,74,75,16,0,75,0,0,0,0,44,0,0,0,6944,5750,5201,4758,3839,4103,4406,3997,4322,4135,7,5,0,0,1,0,111,21
440,KR_6778783745,1,1,1,1,2,0,0,0,0,3,2,1,3,5,3,0,1,1,0,2,3,1,0,1,2,3,1,5,1,2,3,0,7,6,1,23,0,2,4,9,14,9,9,10,8,6,9,8,8,7,7,84,2,82,96,13,75,58,10,76,9,0,88,0,0,0,0,0,68,0,0,3957,5598,5363,5333,3476,3781,3662,3904,4408,4337,2,4,0,0,1,0,21,12
420,KR_6788770960,1,1,1,0,4,1,1,0,0,7,2,0,6,2,3,2,2,1,0,1,2,1,1,1,2,1,2,2,2,2,5,11,0,0,16,19,0,2,6,3,9,9,8,9,8,7,9,7,9,8,6,86,5,105,102,4,94,2,92,83,17,0,60,0,0,0,0,57,0,0,0,3798,5769,4468,5274,3722,4508,4085,3787,3958,3383,5,6,0,0,0,0,28,17
420,KR_6787021502,1,1,1,1,1,1,1,0,0,5,1,4,2,3,4,1,1,0,2,2,2,1,1,2,1,2,4,2,3,3,2,0,15,12,4,16,0,4,8,16,4,11,8,9,8,7,8,6,8,7,7,119,5,93,96,27,64,3,56,77,9,4,74,0,0,0,0,40,0,0,0,6622,4789,4834,5334,3221,3510,2900,3944,4672,3393,4,5,0,0,1,0,44,13
420,KR_6780768082,1,1,1,1,4,0,0,0,0,6,4,0,2,1,5,0,1,1,1,1,3,1,1,0,1,4,1,1,1,2,3,8,4,5,2,15,0,14,0,30,18,9,7,10,8,7,9,8,9,7,7,86,4,110,91,19,93,7,85,83,7,0,60,0,0,0,0,80,0,0,0,3866,4508,4707,5859,3437,4228,4273,3785,4349,4083,7,5,0,0,1,0,21,23
420,KR_6787090196,-1,-1,0,0,4,0,0,0,0,5,4,2,3,0,1,0,0,3,0,0,1,1,1,0,0,3,2,1,0,2,1,0,5,0,18,19,8,0,2,7,1,10,7,9,8,6,8,6,9,7,7,80,12,117,93,16,72,3,72,73,16,0,60,0,0,0,0,44,0,0,0,4293,4749,4257,4358,2640,3746,4236,3399,3660,3195,5,5,0,0,0,0,23,27
420,KR_6789173718,-1,1,-1,-1,5,0,0,0,0,2,3,1,3,2,1,3,2,2,1,3,2,3,4,0,2,1,1,1,3,2,3,0,6,12,13,4,10,4,1,1,4,9,7,9,8,7,10,8,9,8,7,71,1,88,90,26,101,4,96,94,5,0,60,0,0,0,0,75,0,0,0,3501,4571,4786,4383,3879,5054,4830,4155,5869,3484,5,4,0,0,0,1,22,19
420,KR_6779391427,1,0,1,1,0,0,0,0,0,3,3,2,0,3,7,1,4,2,2,0,0,3,0,2,1,2,2,1,2,4,4,0,20,0,0,37,0,0,0,1,6,9,7,9,8,7,9,7,9,7,6,83,0,97,111,4,77,5,89,89,21,0,48,0,0,0,0,62,4,0,0,4551,3913,5816,6366,4279,4600,4498,4644,3764,2895,4,3,0,0,2,0,24,19
420,KR_6783913341,1,1,1,1,3,1,1,0,0,4,2,2,6,2,6,0,0,2,2,0,2,1,1,2,0,2,3,5,2,2,4,8,14,29,5,36,0,10,6,8,10,8,9,9,8,7,8,7,9,7,6,40,8,90,104,18,61,18,73,86,16,4,92,4,0,0,0,48,0,0,0,3589,6608,5476,5766,3356,3295,4218,4209,3729,3595,4,2,0,0,0,0,18,18
