queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6798737285,1,-1,1,1,3,0,0,0,0,5,3,5,6,1,0,0,0,1,1,3,0,0,2,0,1,2,3,2,4,2,1,5,9,10,3,13,0,11,3,5,18,11,7,9,8,7,9,7,9,8,6,125,8,102,105,1,62,10,85,84,5,0,56,4,0,0,0,66,0,4,0,6828,5850,5019,5161,3567,3278,4221,3955,4946,2837,4,22,0,0,3,0,46,16
420,KR_6796824903,-1,1,1,1,1,0,0,0,0,6,4,1,6,3,5,0,3,1,3,0,0,4,1,1,0,1,2,5,3,3,2,9,15,11,1,26,0,0,0,0,2,9,8,10,7,7,10,7,10,7,6,89,2,105,91,18,85,5,78,78,18,0,67,0,0,0,0,62,0,0,0,4494,6277,5668,5654,3533,4658,3800,4687,3559,2624,2,6,0,0,1,0,25,14
440,KR_6694369523,1,0,1,1,0,0,0,0,0,3,3,2,5,4,0,2,1,1,1,3,1,1,0,2,1,3,3,3,5,1,1,0,8,6,18,9,0,16,10,0,7,9,8,7,8,9,9,7,8,8,8,84,13,20,89,72,68,20,51,94,10,0,56,0,0,0,0,0,0,0,64,5206,5717,4921,4400,4694,3540,3303,3844,5118,4383,3,6,0,0,1,0,19,23
420,KR_6795182412,-1,-1,-1,0,2,0,0,0,0,4,8,5,6,2,2,0,1,1,1,4,1,1,3,0,3,1,5,3,2,4,1,2,14,1,13,11,0,13,0,19,35,10,8,10,7,8,9,7,9,8,7,78,14,113,92,12,72,0,100,80,2,0,60,0,0,0,0,64,0,0,0,5349,5875,5506,4761,3101,4028,4134,4127,5338,3263,7,5,0,0,0,0,224,22
420,KR_6726002029,-1,1,0,0,1,0,0,0,0,6,4,0,3,5,2,4,0,1,0,0,0,0,0,1,0,0,1,4,3,3,3,9,13,0,24,37,0,0,9,0,0,10,8,10,8,8,9,7,9,7,7,115,11,105,100,25,109,8,85,71,16,0,64,0,0,0,0,43,0,0,0,4410,4738,5931,5220,4962,4027,3578,3794,3512,3258,14,9,0,0,0,0,25,42
420,KR_6789810180,-1,1,1,0,1,0,0,0,0,3,2,2,1,1,2,0,0,1,5,5,0,0,2,4,3,2,1,2,1,1,1,0,6,0,2,8,8,34,0,5,31,10,8,9,8,7,10,7,10,8,7,89,5,97,98,4,101,12,78,84,20,0,68,0,0,0,0,36,0,0,0,4934,4357,4792,5197,3260,4299,3886,5184,5474,3270,4,2,0,0,0,0,32,31
440,KR_6724718080,-1,-1,1,0,6,0,0,0,0,5,4,2,1,2,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,4,1,8,0,6,6,22,16,9,6,6,0,8,10,8,9,7,6,7,10,8,10,75,114,8,91,8,8,4,98,72,90,0,0,67,0,0,0,60,0,4,0,4300,4473,4991,3943,3742,3069,3902,4543,3880,4135,3,4,0,0,0,0,22,21
440,KR_6789677679,1,1,1,0,1,0,0,0,0,3,6,2,5,1,4,0,2,1,0,0,0,0,0,2,1,0,1,4,1,3,3,28,9,9,32,9,0,0,3,0,3,8,8,9,8,10,10,8,9,7,7,20,1,79,96,111,82,95,95,1,5,0,80,0,0,0,0,0,0,76,0,4000,5947,3876,5684,4406,4299,4326,3744,3686,2703,6,7,0,0,0,0,19,25
420,KR_6794971900,1,0,1,0,0,0,0,0,0,4,2,1,1,3,2,0,1,7,1,0,0,5,0,2,1,1,3,1,1,1,1,0,0,9,0,12,4,0,3,0,0,9,7,10,8,7,9,10,8,8,7,81,4,101,98,9,78,80,3,120,1,0,68,0,0,0,0,0,68,0,0,4108,4189,5638,4596,3074,3966,5868,4129,4317,2325,2,2,0,0,0,0,54,27
420,KR_6666963060,1,0,-1,-1,0,1,1,0,0,6,2,2,3,2,4,0,4,1,0,5,2,3,4,0,2,3,2,3,1,2,3,0,17,9,1,33,9,2,0,5,20,9,8,10,8,6,10,8,10,9,7,58,0,90,90,23,93,6,102,107,6,0,64,0,0,0,0,67,0,0,0,3886,5230,4358,5219,3150,5779,4873,4313,6699,4075,1,5,0,0,0,1,26,26
