Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP
GRANDMASTER,10,2023-11-24 21:04:43,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:04:43,"LGBMClassifier(max_depth=7, num_leaves=20, random_state=10, verbosity=0)",86.93,78.44,78.52,78.46,1468,372,439,1482,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:04:46,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:04:48,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:04:54,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:04:55,"LGBMClassifier(max_depth=8, num_leaves=20, random_state=10, verbosity=0)",87.1,78.22,78.25,78.26,1469,371,448,1473,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:04:58,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:05:00,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:11:31,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:32,"LGBMClassifier(max_depth=8, min_child_samples=10, num_leaves=10,
               random_state=10, verbosity=0)",82.64,77.37,77.49,77.4,1445,395,456,1465,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:35,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:36,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:11:43,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:43,"LGBMClassifier(max_depth=8, num_leaves=10, random_state=10, verbosity=0)",82.41,77.16,77.27,77.19,1442,398,461,1460,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:47,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'verbose': 0, 'random_state': 10}",90.13,79.53,79.64,79.55,1485,355,415,1506,solve ExtraTrees overfittng
GRANDMASTER,10,2023-11-24 21:11:48,ExtraTreesClassifier(random_state=10),100.0,77.11,77.14,77.14,1447,393,468,1453,solve ExtraTrees overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
GRANDMASTER,10,2023-11-24 21:11:56,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.05,73.15,73.18,73.18,1373,467,543,1378,solve ExtraTrees overfittng
