CHALLENGER,10,2023-11-23 16:50:56,"CatBoost{'verbose': 0, 'random_state': 10}",91.61,80.35,80.76,80.33,1546,402,375,1631,remove warning message
CHALLENGER,10,2023-11-23 16:50:59,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,remove warning message
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:26:14,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:26:15,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:26:18,"CatBoost{'verbose': 0, 'random_state': 10}",91.61,80.35,80.76,80.33,1546,402,375,1631,solve overfittng
CHALLENGER,10,2023-11-23 17:26:20,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:27:16,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:27:16,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:27:20,"CatBoost{'depth': 6, 'verbose': 0, 'random_state': 10}",91.61,80.35,80.76,80.33,1546,402,375,1631,solve overfittng
CHALLENGER,10,2023-11-23 17:27:21,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:28:07,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:28:07,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:28:10,"CatBoost{'depth': 6, 'l2_leaf_reg': 3.0, 'verbose': 0, 'random_state': 10}",92.37,79.79,80.23,79.78,1534,414,385,1621,solve overfittng
CHALLENGER,10,2023-11-23 17:28:12,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:28:42,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:28:42,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:28:45,"CatBoost{'depth': 6, 'l2_leaf_reg': 10.0, 'verbose': 0, 'random_state': 10}",90.56,80.3,80.67,80.29,1549,399,380,1626,solve overfittng
CHALLENGER,10,2023-11-23 17:28:47,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:29:27,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:29:27,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:29:31,"CatBoost{'depth': 6, 'l2_leaf_reg': 10.0, 'border_count': 100, 'verbose': 0, 'random_state': 10}",90.53,79.94,80.41,79.93,1533,415,378,1628,solve overfittng
CHALLENGER,10,2023-11-23 17:29:32,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
CHALLENGER,10,2023-11-23 17:29:49,"RandomForestClassifier(max_leaf_nodes=100, random_state=10)",80.41,74.33,74.87,74.31,1427,521,494,1512,solve overfittng
CHALLENGER,10,2023-11-23 17:29:49,"LGBMClassifier(max_depth=12, num_leaves=20, random_state=10, verbosity=0)",86.67,78.98,79.51,78.96,1511,437,394,1612,solve overfittng
CHALLENGER,10,2023-11-23 17:29:52,"CatBoost{'depth': 6, 'l2_leaf_reg': 15, 'border_count': 100, 'verbose': 0, 'random_state': 10}",89.82,80.63,81.01,80.61,1554,394,372,1634,solve overfittng
CHALLENGER,10,2023-11-23 17:29:54,ExtraTreesClassifier(random_state=10),100.0,77.52,78.0,77.5,1489,459,430,1576,solve overfittng
Tier,Min,TIME,Model,Train_Accuracy,Test_Accuracy,F1_score,ROC_AUC,TN,FP,FN,TP,Note
