matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6759033284,420,-4,-32,-29,-4,2,3,1,-5,1,6,-3,0,3,0,3,3,2,3,1,-1,-11,149,-4,7,3,4,0,-1,-1,-1,-1,-1,5,1
KR_6766188933,420,3,53,43,7,-2,1,3,2,7,5,1,2,1,6,7,1,0,1,1,0,0,-44,-1,5,4,5,0,1,1,1,1,1,5,1
KR_6613829747,420,-1,-16,22,-1,-2,1,3,1,4,3,-1,1,2,0,1,1,1,1,0,0,-1,2,1,6,7,4,0,-1,1,1,-1,1,5,1
KR_6767775846,420,3,40,5,8,0,1,1,-2,3,5,3,3,0,7,9,2,0,0,0,0,3,6,4,5,9,-2,0,0,-1,0,1,1,4,1
KR_6764745600,420,6,51,7,16,2,3,1,6,8,2,3,5,2,6,7,1,-1,0,1,-1,12,1,7,3,10,0,0,0,-1,1,1,-1,6,1
KR_6761568915,440,2,25,19,4,0,1,1,3,5,2,-2,2,4,4,5,1,-1,1,2,1,7,58,-1,7,6,1,0,0,1,-1,0,1,4,1
KR_6766753824,420,0,71,7,-4,0,4,4,-1,1,2,-1,1,2,2,5,3,-4,0,4,0,-6,-21,3,4,7,10,0,0,-1,0,1,1,3,1
KR_6660393850,420,1,65,-12,0,0,2,2,1,4,3,-4,0,4,3,6,3,0,0,0,0,1,40,0,6,6,-19,0,0,1,0,1,1,1,1
KR_6762840284,420,3,90,44,4,5,6,1,8,8,0,-2,3,5,-4,2,6,-3,0,3,0,0,-5,-1,3,2,2,0,3,1,1,1,1,4,1
KR_6749035672,420,5,19,24,11,1,4,3,2,2,0,2,3,1,6,6,0,0,2,2,0,14,22,3,4,7,2,0,-1,-1,1,-1,1,3,1
KR_6747906801,420,3,63,0,15,2,4,2,-2,1,3,6,6,0,5,5,0,4,4,0,1,18,14,3,5,8,-1,0,2,1,1,1,1,2,1
KR_6707086149,440,4,17,12,6,-3,0,3,10,13,3,-2,1,3,1,1,0,0,0,0,-1,-3,-1,0,5,5,5,0,1,-1,-1,1,-1,6,1
KR_6739375719,420,4,112,34,18,8,8,0,4,5,1,5,6,1,2,4,2,-1,0,1,2,23,-1,3,4,7,3,0,3,1,1,1,1,1,1
KR_6753974356,420,-1,-4,-29,-1,2,3,1,-1,1,2,-1,3,4,-2,0,2,1,1,0,0,5,38,-1,6,5,-24,0,0,-1,0,-1,1,5,1
KR_6689988575,420,-1,-12,-36,0,-1,2,3,2,3,1,2,2,0,-2,2,4,-1,1,2,-1,2,-4,-4,9,5,3,0,0,-1,1,0,-1,1,1
KR_6711589805,420,-2,-47,24,-5,1,2,1,1,6,5,-1,4,5,-3,1,4,-3,0,3,0,-16,-6,2,6,8,1,0,2,-1,1,1,1,6,1
KR_6761669919,420,1,1,8,-2,-2,0,2,1,2,1,0,1,1,0,2,2,-1,1,2,-3,-3,14,5,2,7,1,0,0,1,-1,0,-1,5,1
