matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6762518550,420,1,-24,9,1,2,3,1,2,4,2,-1,1,2,-1,1,2,-1,0,1,0,1,3,-1,8,7,-2,0,1,-1,1,1,1,5,1
KR_6732286455,420,1,69,-3,-4,-1,0,1,-4,1,5,-1,1,2,1,6,5,1,1,0,0,-9,-1,0,6,6,3,0,0,1,1,0,1,3,1
KR_6752994251,420,0,-25,4,3,2,3,1,2,2,0,0,3,3,-2,0,2,1,2,1,0,-2,-24,-2,4,2,3,0,0,1,1,0,1,6,1
KR_6767390069,420,3,15,22,0,-1,0,1,-2,3,5,0,3,3,2,6,4,1,2,1,-1,7,4,1,5,6,-1,0,0,-1,1,0,-1,3,1
KR_6694530130,420,-1,-4,12,6,-2,0,2,1,3,2,3,5,2,0,2,2,4,5,1,0,7,4,6,3,9,2,0,-1,1,-1,-1,-1,5,1
KR_6764348064,420,-2,-44,-26,0,-1,0,1,-2,2,4,-3,1,4,6,7,1,0,0,0,0,0,2,0,4,4,-5,0,0,-1,-1,-1,1,6,1
KR_6728831267,420,0,101,4,-6,1,2,1,2,4,2,-7,1,8,-2,1,3,0,1,1,0,-11,-1,1,3,4,-2,0,0,-1,-1,0,1,5,1
KR_6743152507,440,2,2,24,2,-1,0,1,0,4,4,-3,2,5,5,9,4,1,1,0,1,8,-2,-6,12,6,1,0,0,1,-1,1,1,1,1
KR_6743898569,440,2,-11,0,3,-2,1,3,2,2,0,0,0,0,1,3,2,2,2,0,0,4,4,3,3,6,-4,0,0,1,1,0,1,5,1
KR_6763324255,440,2,60,27,3,-3,2,5,-2,2,4,4,7,3,4,4,0,0,1,1,-1,2,-353,-3,5,2,1,0,1,1,0,1,-1,5,1
KR_6767900230,440,3,31,12,16,3,3,0,4,6,2,3,4,1,6,9,3,0,1,1,0,17,-2,6,3,9,0,0,0,1,0,1,1,1,1
KR_6570468881,420,-2,-7,-15,-5,-3,0,3,1,2,1,2,6,4,-3,4,7,-2,0,2,0,6,206,2,0,2,-3,0,0,-1,1,-1,-1,2,1
KR_6768911253,420,0,0,4,3,-1,2,3,1,4,3,1,3,2,2,2,0,0,3,3,-1,5,14,2,3,5,0,0,-2,1,-1,-1,-1,4,1
KR_6667161708,420,2,-16,28,-2,-1,1,2,3,4,1,1,3,2,-3,0,3,-2,1,3,0,3,-4,0,6,6,-1,0,0,1,1,0,-1,5,1
KR_6767501739,420,1,41,-19,0,0,1,1,-4,0,4,-5,0,5,7,8,1,2,2,0,0,5,3,2,8,10,0,0,1,-1,1,1,1,6,1
KR_6767453921,420,4,62,25,11,2,4,2,6,6,0,-3,1,4,5,5,0,1,1,0,0,11,28,3,6,9,1,0,0,1,1,0,1,5,1
KR_6768675952,420,1,38,-20,-1,0,1,1,1,3,2,-6,1,7,3,5,2,1,2,1,0,2,160,0,3,3,3,0,1,1,1,1,-1,6,1
KR_6746092338,420,2,6,-27,8,1,1,0,5,6,1,-1,0,1,4,4,0,-1,1,2,0,16,3,1,3,4,-4,0,0,-1,-1,0,1,2,1
KR_6743049204,440,0,77,16,-1,3,4,1,1,3,2,2,5,3,-6,2,8,-1,0,1,0,-6,9,3,1,4,-4,0,1,1,1,1,-1,1,1
KR_6690286154,420,-3,6,3,-10,2,2,0,-4,1,5,-4,3,7,-3,4,7,-1,2,3,0,-16,258,3,2,5,-3,0,-1,-1,1,-1,1,4,1
KR_6752092967,420,-1,-40,1,-3,-3,0,3,2,2,0,-1,3,4,0,2,2,-1,0,1,0,-2,18,1,3,4,-4,0,0,1,-1,0,1,3,1
KR_6570098916,420,2,102,0,-4,-2,0,2,-1,1,2,-2,1,3,3,6,3,-2,2,4,0,-1,-21,0,4,4,-3,0,0,1,1,1,1,3,1
KR_6496431684,420,4,85,18,3,0,2,2,-1,4,5,10,12,2,-1,2,3,-5,0,5,-2,-3,7,4,2,6,1,0,1,-1,-1,1,-1,1,1
KR_6740440057,420,0,1,28,-2,3,3,0,-2,2,4,3,8,5,-4,2,6,-2,3,5,3,2,5,3,6,9,-7,0,1,-1,1,1,1,4,1
KR_6768723310,420,1,-14,13,3,1,2,1,3,6,3,0,3,3,0,0,0,-1,0,1,0,1,4,2,5,7,0,0,0,1,1,0,1,2,1
KR_6741653393,440,1,30,0,-1,3,5,2,-1,2,3,0,2,2,2,2,0,-5,2,7,0,-9,25,1,6,7,4,0,0,-1,-1,1,1,2,1
KR_6695040282,420,1,-28,-40,3,1,2,1,2,3,1,3,9,6,-2,2,4,-1,0,1,0,11,-5,-6,9,3,6,0,-1,-1,-1,-1,-1,3,1
KR_6675951802,420,0,37,14,1,0,1,1,0,4,4,2,3,1,0,2,2,-1,0,1,0,-5,225,3,3,6,-2,0,1,-1,1,1,-1,5,1
KR_6750647919,420,0,-30,-28,1,-3,3,6,-1,3,4,3,3,0,3,4,1,-1,0,1,2,6,7,4,4,8,2,0,0,1,-1,0,1,3,1
KR_6695667232,420,4,12,16,5,0,1,1,2,5,3,1,3,2,4,5,1,-2,1,3,0,-4,2,4,5,9,2,0,-1,1,-1,-1,1,3,1
KR_6763217338,440,5,109,4,14,2,3,1,3,4,1,2,2,0,6,6,0,1,1,0,0,14,5,3,2,5,1,0,2,1,1,1,1,2,1
KR_6761065447,440,1,62,-33,1,6,9,3,3,3,0,1,4,3,-5,3,8,-4,1,5,1,-6,412,2,0,2,1,0,2,-1,1,1,-1,5,1
KR_6769956096,440,2,35,4,2,0,2,2,3,4,1,1,1,0,-3,3,6,1,5,4,0,6,-6,-1,7,6,3,0,0,-1,-1,0,-1,2,1
KR_6716829530,420,1,-8,0,1,1,4,3,-1,1,2,3,4,1,1,3,2,-3,0,3,-1,-1,3,-1,4,3,-2,0,0,-1,-1,-1,-1,3,1
KR_6746016466,420,4,53,9,4,1,3,2,5,6,1,-2,2,4,0,4,4,0,1,1,1,14,18,-1,2,1,-2,0,1,1,1,1,1,2,1
