matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6750556705,440,-5,-75,-28,-9,-1,3,2,-1,1,0,-7,7,0,-1,4,3,1,0,1,-1,-1,-3,-4,-3,7,-3,0,-2,1,0,-1,-1,2,-1
KR_6734866230,420,-4,-56,22,-10,-5,6,1,-3,4,1,-1,2,1,0,1,1,-1,4,3,-1,-8,-10,-3,-6,9,2,0,-1,1,1,-1,-1,3,-1
KR_6465825660,420,-3,-27,-23,-8,-5,5,0,-2,4,2,-2,4,2,3,0,3,-2,3,1,0,1,-4,-3,-1,4,3,0,-1,-1,-1,-1,-1,4,-1
KR_6762400222,420,-7,-82,-26,-18,-2,3,1,-5,5,0,-3,4,1,-3,4,1,-5,5,0,0,-10,-12,1,-4,3,4,0,0,-1,0,-1,-1,5,-1
KR_6754338418,420,-3,-34,-7,-20,-1,2,1,-1,2,1,0,0,0,-12,16,4,-6,8,2,-1,-15,-2,0,-1,1,-1,0,-1,-1,-1,-1,-1,1,-1
KR_6680806312,420,-2,23,-15,-3,-2,2,0,2,2,4,-3,4,1,0,3,3,0,1,1,0,-8,1,5,-6,1,0,0,0,1,0,0,-1,3,-1
KR_6482324656,420,-2,-21,-32,1,-1,3,2,-1,3,2,1,1,2,2,1,3,0,0,0,0,1,-5,2,-6,4,-1,0,1,1,-1,1,1,4,-1
KR_6641593651,420,-2,7,-30,4,-1,2,1,1,1,2,-2,2,0,4,0,4,2,0,2,0,9,-3,3,-4,1,2,0,-1,1,-1,-1,1,5,-1
KR_6627753713,420,-1,-66,4,-5,0,1,1,-1,2,1,-3,4,1,-1,2,1,0,0,0,0,-2,-4,1,-3,2,0,0,0,1,1,-1,-1,3,-1
KR_6759252170,420,3,-10,32,0,-4,4,0,0,0,0,1,1,2,5,1,6,-2,3,1,-1,-3,-9,-1,-3,4,4,0,-1,1,-1,-1,-1,3,-1
KR_6629115549,420,0,41,-16,-3,-2,2,0,-1,2,1,-1,2,1,3,5,8,-2,2,0,0,7,10,3,-4,1,-2,0,0,-1,1,0,1,1,-1
KR_6642443599,420,-1,-3,16,-1,-1,4,3,0,4,4,1,0,1,-1,2,1,0,0,0,-1,-2,6,-4,-3,7,3,0,0,1,-1,0,-1,4,-1
KR_6760418615,420,1,-35,17,5,-2,3,1,7,0,7,0,3,3,1,1,2,-1,1,0,0,11,1,1,-5,4,0,0,0,1,-1,0,-1,4,-1
KR_6732599270,440,-3,-40,-8,-5,-1,1,0,1,1,2,-3,3,0,0,1,1,-2,3,1,1,-9,-13,-5,0,5,0,0,0,1,0,0,1,6,-1
KR_6641178532,420,-3,-89,24,-1,-3,4,1,4,0,4,-2,4,2,0,4,4,0,1,1,0,-1,-16,-3,-2,5,2,0,-2,1,-1,-1,-1,2,-1
KR_6765072825,420,-5,-107,-4,-9,-1,2,1,-3,4,1,-4,4,0,-2,2,0,1,0,1,0,-8,-130,-2,-1,3,-3,0,-1,-1,-1,-1,-1,1,-1
KR_6762537825,440,-4,-20,-32,-8,-4,5,1,2,2,4,-7,7,0,1,2,3,0,2,2,0,-5,204,-2,-1,3,-2,0,-1,-1,-1,-1,-1,4,-1
KR_6756886971,420,1,-38,-43,0,-2,2,0,-1,4,3,4,1,5,-1,2,1,0,0,0,0,5,-101,-2,-3,5,4,0,2,1,-1,1,1,3,-1
KR_6627933555,420,-1,-76,52,-5,0,1,1,-2,2,0,-2,5,3,0,0,0,-1,4,3,0,-2,-3,0,-3,3,0,0,-1,-1,1,-1,-1,4,-1
KR_6717612227,420,-3,-71,-39,-8,-3,4,1,0,4,4,0,2,2,-1,4,3,-4,5,1,0,-3,-21,-3,-4,7,2,0,-1,-1,-1,-1,-1,4,-1
